cmd logfilename ps_name
u0_a198   4250  373   1845412 92924 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:24:25.711   928  1585 I am_proc_start: [0,4250,10198,com.qualcomm.ftcrobotcontroller,activity,com.qualcomm.ftcrobotcontroller/org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 17:18:38.251  4250 20982 D frontRightVelocity: : 1200.0
03-08 17:18:38.271  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:38.271  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.271  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.271  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.281  4250 20982 D backLeftVelocity: : 1040.0
03-08 17:18:38.281  4250 20982 D backRightVelocity: : 1040.0
03-08 17:18:38.291  4250 20982 D frontLeftVelocity: : 1060.0
03-08 17:18:38.301  4250 20982 D frontRightVelocity: : 1220.0
03-08 17:18:38.331  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:38.331  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.331  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.331  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.331  4250 20982 D backLeftVelocity: : 1120.0
03-08 17:18:38.341  4250 20982 D backRightVelocity: : 1180.0
03-08 17:18:38.341  4250 20982 D frontLeftVelocity: : 1220.0
03-08 17:18:38.351  4250 20982 D frontRightVelocity: : 1200.0
03-08 17:18:38.381  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:38.381  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.381  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.381  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.381  4250 20982 D backLeftVelocity: : 1240.0
03-08 17:18:38.391  4250 20982 D backRightVelocity: : 1240.0
03-08 17:18:38.391  4250 20982 D frontLeftVelocity: : 1320.0
03-08 17:18:38.401  4250 20982 D frontRightVelocity: : 1260.0
03-08 17:18:38.461  4250 20982 D backLeftPower: : 0.7069256756756758
03-08 17:18:38.461  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.471  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.471  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.481  4250 20982 D backLeftVelocity: : 1380.0
03-08 17:18:38.481  4250 20982 D backRightVelocity: : 1380.0
03-08 17:18:38.491  4250 20982 D frontLeftVelocity: : 1420.0
03-08 17:18:38.491  4250 20982 D frontRightVelocity: : 1380.0
03-08 17:18:38.551  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:38.551  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.551  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.551  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.551  4250 20982 D backLeftVelocity: : 1440.0
03-08 17:18:38.551  4250 20982 D backRightVelocity: : 1520.0
03-08 17:18:38.561  4250 20982 D frontLeftVelocity: : 1520.0
03-08 17:18:38.571  4250 20982 D frontRightVelocity: : 1500.0
03-08 17:18:38.601  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:38.601  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.601  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.601  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.601  4250 20982 D backLeftVelocity: : 1520.0
03-08 17:18:38.611  4250 20982 D backRightVelocity: : 1540.0
03-08 17:18:38.611  4250 20982 D frontLeftVelocity: : 1560.0
03-08 17:18:38.621  4250 20982 D frontRightVelocity: : 1520.0
03-08 17:18:38.651  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:38.651  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.651  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.651  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.661  4250 20982 D backLeftVelocity: : 1540.0
03-08 17:18:38.671  4250 20982 D backRightVelocity: : 1580.0
03-08 17:18:38.681  4250 20982 D frontLeftVelocity: : 1580.0
03-08 17:18:38.691  4250 20982 D frontRightVelocity: : 1540.0
03-08 17:18:38.721  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:38.721  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.721  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.721  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.731  4250 20982 D backLeftVelocity: : 1580.0
03-08 17:18:38.731  4250 20982 D backRightVelocity: : 1600.0
03-08 17:18:38.741  4250 20982 D frontLeftVelocity: : 1620.0
03-08 17:18:38.741  4250 20982 D frontRightVelocity: : 1600.0
03-08 17:18:38.781  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:38.781  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.781  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.781  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.791  4250 20982 D backLeftVelocity: : 1560.0
03-08 17:18:38.791  4250 20982 D backRightVelocity: : 1660.0
03-08 17:18:38.801  4250 20982 D frontLeftVelocity: : 1640.0
03-08 17:18:38.801  4250 20982 D frontRightVelocity: : 1640.0
03-08 17:18:38.831  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:38.831  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.831  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.831  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.831  4250 20982 D backLeftVelocity: : 1620.0
03-08 17:18:38.841  4250 20982 D backRightVelocity: : 1680.0
03-08 17:18:38.841  4250 20982 D frontLeftVelocity: : 1660.0
03-08 17:18:38.851  4250 20982 D frontRightVelocity: : 1660.0
03-08 17:18:38.891  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:38.891  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.891  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.891  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.891  4250 20982 D backLeftVelocity: : 1660.0
03-08 17:18:38.901  4250 20982 D backRightVelocity: : 1660.0
03-08 17:18:38.901  4250 20982 D frontLeftVelocity: : 1680.0
03-08 17:18:38.911  4250 20982 D frontRightVelocity: : 1640.0
03-08 17:18:38.971  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:38.971  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:38.971  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:38.971  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:38.981  4250 20982 D backLeftVelocity: : 1640.0
03-08 17:18:38.981  4250 20982 D backRightVelocity: : 1680.0
03-08 17:18:38.991  4250 20982 D frontLeftVelocity: : 1700.0
03-08 17:18:39.001  4250 20982 D frontRightVelocity: : 1640.0
03-08 17:18:39.041  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.051  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.051  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.051  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:39.051  4250 20982 D backLeftVelocity: : 1700.0
03-08 17:18:39.061  4250 20982 D backRightVelocity: : 1740.0
03-08 17:18:39.071  4250 20982 D frontLeftVelocity: : 1720.0
03-08 17:18:39.071  4250 20982 D frontRightVelocity: : 1700.0
03-08 17:18:39.111  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.111  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.111  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.111  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:39.121  4250 20982 D backLeftVelocity: : 1740.0
03-08 17:18:39.121  4250 20982 D backRightVelocity: : 1700.0
03-08 17:18:39.121  4250 20982 D frontLeftVelocity: : 1720.0
03-08 17:18:39.131  4250 20982 D frontRightVelocity: : 1700.0
03-08 17:18:39.161  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.161  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.161  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.161  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:39.161  4250 20982 D backLeftVelocity: : 1740.0
03-08 17:18:39.171  4250 20982 D backRightVelocity: : 1760.0
03-08 17:18:39.171  4250 20982 D frontLeftVelocity: : 1760.0
03-08 17:18:39.181  4250 20982 D frontRightVelocity: : 1680.0
03-08 17:18:39.201  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.211  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.211  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.211  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:39.211  4250 20982 D backLeftVelocity: : 1720.0
03-08 17:18:39.211  4250 20982 D backRightVelocity: : 1740.0
03-08 17:18:39.221  4250 20982 D frontLeftVelocity: : 1720.0
03-08 17:18:39.231  4250 20982 D frontRightVelocity: : 1720.0
03-08 17:18:39.261  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.261  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.261  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.261  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:39.261  4250 20982 D backLeftVelocity: : 1680.0
03-08 17:18:39.271  4250 20982 D backRightVelocity: : 1760.0
03-08 17:18:39.271  4250 20982 D frontLeftVelocity: : 1740.0
03-08 17:18:39.281  4250 20982 D frontRightVelocity: : 1760.0
03-08 17:18:39.311  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.311  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.321  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.321  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:39.321  4250 20982 D backLeftVelocity: : 1760.0
03-08 17:18:39.321  4250 20982 D backRightVelocity: : 1720.0
03-08 17:18:39.331  4250 20982 D frontLeftVelocity: : 1700.0
03-08 17:18:39.331  4250 20982 D frontRightVelocity: : 1740.0
03-08 17:18:39.361  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.361  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.361  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.361  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:39.371  4250 20982 D backLeftVelocity: : 1720.0
03-08 17:18:39.381  4250 20982 D backRightVelocity: : 1740.0
03-08 17:18:39.391  4250 20982 D frontLeftVelocity: : 1700.0
03-08 17:18:39.391  4250 20982 D frontRightVelocity: : 1680.0
03-08 17:18:39.431  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.431  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.431  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.441  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:39.441  4250 20982 D backLeftVelocity: : 1680.0
03-08 17:18:39.461  4250 20982 D backRightVelocity: : 1720.0
03-08 17:18:39.471  4250 20982 D frontLeftVelocity: : 1720.0
03-08 17:18:39.471  4250 20982 D frontRightVelocity: : 1700.0
03-08 17:18:39.531  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.531  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.531  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.531  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:39.541  4250 20982 D backLeftVelocity: : 1740.0
03-08 17:18:39.541  4250 20982 D backRightVelocity: : 1740.0
03-08 17:18:39.551  4250 20982 D frontLeftVelocity: : 1700.0
03-08 17:18:39.551  4250 20982 D frontRightVelocity: : 1760.0
03-08 17:18:39.581  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.581  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.581  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.581  4250 20982 D frontRightPower: : 0.7071067811865476
