cmd logfilename ps_name
u0_a198   4250  373   1854440 94672 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:42:50.091  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.091  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.141  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.141  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.141  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.141  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.141  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.151  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.161  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.171  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.201  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.201  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.201  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.201  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.211  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.221  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.221  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.231  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.271  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.271  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.271  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.271  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.271  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.281  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.281  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.291  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.331  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.331  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.331  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.331  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.331  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.341  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.341  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.351  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.371  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.371  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.371  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.371  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.381  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.381  4250 16323 D backRightVelocity: : 0.0
