cmd logfilename ps_name
u0_a198   4250  373   1845412 94128 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:24:25.711   928  1585 I am_proc_start: [0,4250,10198,com.qualcomm.ftcrobotcontroller,activity,com.qualcomm.ftcrobotcontroller/org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 17:30:08.321  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.321  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.321  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.321  4250 22877 D backLeftVelocity: : 1020.0
03-08 17:30:08.331  4250 22877 D backRightVelocity: : 1060.0
03-08 17:30:08.331  4250 22877 D frontLeftVelocity: : 1180.0
03-08 17:30:08.341  4250 22877 D frontRightVelocity: : 1280.0
03-08 17:30:08.371  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:08.371  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.371  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.371  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.381  4250 22877 D backLeftVelocity: : 1140.0
03-08 17:30:08.391  4250 22877 D backRightVelocity: : 1120.0
03-08 17:30:08.401  4250 22877 D frontLeftVelocity: : 1160.0
03-08 17:30:08.401  4250 22877 D frontRightVelocity: : 1220.0
03-08 17:30:08.431  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:08.441  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.441  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.441  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.441  4250 22877 D backLeftVelocity: : 1220.0
03-08 17:30:08.441  4250 22877 D backRightVelocity: : 1220.0
03-08 17:30:08.451  4250 22877 D frontLeftVelocity: : 1280.0
03-08 17:30:08.451  4250 22877 D frontRightVelocity: : 1300.0
03-08 17:30:08.501  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:08.501  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.501  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.501  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.501  4250 22877 D backLeftVelocity: : 1320.0
03-08 17:30:08.511  4250 22877 D backRightVelocity: : 1340.0
03-08 17:30:08.521  4250 22877 D frontLeftVelocity: : 1360.0
