cmd logfilename ps_name
u0_a198   4250  373   1845928 89108 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:24:25.711   928  1585 I am_proc_start: [0,4250,10198,com.qualcomm.ftcrobotcontroller,activity,com.qualcomm.ftcrobotcontroller/org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 16:36:41.281  4250 15854 D backRightVelocity: : 680.0
03-08 16:36:41.281  4250 15854 D frontLeftVelocity: : 1000.0
03-08 16:36:41.291  4250 15854 D frontRightVelocity: : 1160.0
03-08 16:36:41.321  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.321  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.321  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.321  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:41.331  4250 15854 D backLeftVelocity: : 620.0
03-08 16:36:41.341  4250 15854 D backRightVelocity: : 700.0
03-08 16:36:41.361  4250 15854 D frontLeftVelocity: : 1040.0
03-08 16:36:41.361  4250 15854 D frontRightVelocity: : 1140.0
03-08 16:36:41.401  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.401  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.401  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.401  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:41.411  4250 15854 D backLeftVelocity: : 840.0
03-08 16:36:41.421  4250 15854 D backRightVelocity: : 860.0
03-08 16:36:41.431  4250 15854 D frontLeftVelocity: : 1080.0
03-08 16:36:41.441  4250 15854 D frontRightVelocity: : 1140.0
03-08 16:36:41.471  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.471  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.471  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.471  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:41.481  4250 15854 D backLeftVelocity: : 980.0
03-08 16:36:41.481  4250 15854 D backRightVelocity: : 1060.0
03-08 16:36:41.481  4250 15854 D frontLeftVelocity: : 1120.0
03-08 16:36:41.491  4250 15854 D frontRightVelocity: : 1180.0
03-08 16:36:41.531  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.531  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.531  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.531  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:41.541  4250 15854 D backLeftVelocity: : 1100.0
03-08 16:36:41.541  4250 15854 D backRightVelocity: : 1200.0
03-08 16:36:41.551  4250 15854 D frontLeftVelocity: : 1200.0
03-08 16:36:41.561  4250 15854 D frontRightVelocity: : 1240.0
03-08 16:36:41.591  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.591  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.591  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.591  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:41.601  4250 15854 D backLeftVelocity: : 1240.0
03-08 16:36:41.601  4250 15854 D backRightVelocity: : 1280.0
03-08 16:36:41.611  4250 15854 D frontLeftVelocity: : 1300.0
03-08 16:36:41.621  4250 15854 D frontRightVelocity: : 1360.0
03-08 16:36:41.661  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.661  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.661  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.661  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:41.671  4250 15854 D backLeftVelocity: : 1400.0
03-08 16:36:41.671  4250 15854 D backRightVelocity: : 1400.0
03-08 16:36:41.671  4250 15854 D frontLeftVelocity: : 1400.0
03-08 16:36:41.681  4250 15854 D frontRightVelocity: : 1440.0
03-08 16:36:41.701  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.701  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.701  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.701  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:41.711  4250 15854 D backLeftVelocity: : 1440.0
03-08 16:36:41.711  4250 15854 D backRightVelocity: : 1440.0
03-08 16:36:41.721  4250 15854 D frontLeftVelocity: : 1460.0
03-08 16:36:41.721  4250 15854 D frontRightVelocity: : 1480.0
03-08 16:36:41.751  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.751  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.751  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.751  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:41.751  4250 15854 D backLeftVelocity: : 1480.0
03-08 16:36:41.761  4250 15854 D backRightVelocity: : 1480.0
03-08 16:36:41.761  4250 15854 D frontLeftVelocity: : 1480.0
03-08 16:36:41.771  4250 15854 D frontRightVelocity: : 1480.0
03-08 16:36:41.801  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.801  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.801  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.801  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:41.811  4250 15854 D backLeftVelocity: : 1500.0
03-08 16:36:41.811  4250 15854 D backRightVelocity: : 1560.0
03-08 16:36:41.821  4250 15854 D frontLeftVelocity: : 1540.0
03-08 16:36:41.821  4250 15854 D frontRightVelocity: : 1540.0
03-08 16:36:41.871  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.871  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.871  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.871  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:41.871  4250 15854 D backLeftVelocity: : 1580.0
03-08 16:36:41.881  4250 15854 D backRightVelocity: : 1600.0
03-08 16:36:41.891  4250 15854 D frontLeftVelocity: : 1600.0
03-08 16:36:41.901  4250 15854 D frontRightVelocity: : 1620.0
03-08 16:36:41.951  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.951  4250 15854 D backRightPower: : 0.7071067811865475
